/spells/483-wrath_of_nature/,Гнев природы [Wrath of nature],5 уровень,воплощение,1 действие,120 футов,"В, С","Концентрация, вплоть до 1 минуты","друид, следопыт",,«Xanathar's Guide to Everything»,"Вы взываете к духам природы, чтобы обратить их против ваших врагов. Выберите точку, которую вы можете видеть в пределах дистанции. Духи оживляют деревья, камни и травы в кубе с длиной ребра в 60 футов с центром в этой точке на все время действия заклинания.Травы и подлесок. Любая область земли в кубе, покрытая травой или подлеском, являетсятруднопроходимой местностьюдля ваших врагов.Деревья. В начале каждого вашего хода каждый из ваших врагов в пределах 10 футов от любого дерева внутри куба должен преуспеть в спасброске Ловкости, иначе получит 4к6 рубящего урона от хлещущих его ветвей.Корни и лозы. В конце каждого вашего хода одно существо по вашему выбору, которое находится на земле внутри куба, должно преуспеть в спасброске Силы, иначе станетопутаннымдо тех пор, пока заклинание не закончится.Опутанноесущество может действием совершить проверку Силы (Атлетика) против Сл спасброска от ваших заклинаний, оканчивая на себе эффект заклинания при успехе.Камни. Бонусным действием в свой ход вы можете призвать камень внутри куба, чтобы запустить его в существо, которое вы можете видеть внутри куба. Совершите дальнобойную атаку заклинанием против этой цели. При попадании цель получает 3к8 немагического дробящего урона и должна преуспеть в спасброске Силы, иначе будетсбита с ног. "
/spells/46-wrathful_smite/,Гневная кара [Wrathful smite],1 уровень,воплощение,1 бонусное действие,На себя,В,"Концентрация, вплоть до 1 минуты",паладин,ведьмовской клинок (колдун),«Player's handbook»,"В следующий раз, когда вы попадёте атакой рукопашным оружием, пока активно это заклинание, ваша атака причиняет дополнительный 1к6 урона психической энергией. Кроме того, если цель — существо, оно должно совершить спасбросок Мудрости, иначе оно станетиспуганнымдо окончания действия заклинания. Существо может действием совершить проверку Мудрости против Сл ваших заклинаний, чтобы успокоиться и окончить это заклинание."
/spells/47-hunger_of_hadar/,Голод Хадара [Hunger of Hadar],3 уровень,вызов,1 действие,150 футов,"В, С, М  (маринованное щупальце осьминога)","Концентрация, вплоть до 1 минуты",колдун,аберрантный разум (чародей),«Player's handbook»,"Вы открываете врата в межзвёздную тьму, область, населённую неизвестными кошмарами. Появляется сфера тьмы и холода с радиусом 20 футов с центром на точке в пределах дистанции, существующая, пока активно заклинание. Эта пустота заполнена какофонией тихих шёпотов и хлюпающих шумов, которые слышно в пределах 30 футов. Никакой свет, ни магический, ни обычный, не может осветить эту местность, и существа, полностью находящиеся в этой области,ослеплены.Пустота создаёт искажения в ткани пространства, и её местность является труднопроходимой. Все существа, начинающие ход в этой местности, получают 2к6 урона холодом. Все существа, оканчивающие ход в этой местности, должны преуспеть в спасброске Ловкости, иначе получают 2к6 урона кислотой, так как к ним прикасаются бледные потусторонние щупальца."
/spells/48-flame_blade/,Горящий клинок [Flame blade],2 уровень,воплощение,1 бонусное действие,На себя,"В, С, М  (лист сумаха)","Концентрация, вплоть до 10 минут","друид, чародей (Tasha's Cauldron of Everything)",,«Player's handbook»,"Вы создаёте горящий клинок в свободной руке. Этот клинок похож размерами и формой на скимитар, и он существует, пока заклинание активно. Если вы выпустите клинок из рук, он исчезает, но вы можете вернуть его в руку бонусным действием.Вы можете действием совершить рукопашную атаку заклинанием. При попадании цель получает урон огнём 3к6.Горящий клинок испускаетяркий светв пределах 10 футов итусклый светв пределах ещё 10 футов.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 4-го уровня или выше, урон увеличивается на 1к6 за каждые два уровня ячейки выше 2-го."
/spells/2451-gravity_fissure/,Гравитационный разлом [Gravity fissure],6 уровень,воплощение (дюнамантия: гравитургия),1 действие,На себя,"В, С, М  (горсть железных опилок)",Мгновенная,,"магия гравитургии (волшебник), магия хронургии (волшебник)",«Explorer's Guide to Wildemount»,"Вы создаете червоточину в пространстве, обладающую огромным притяжением. Червоточина исходит от вас на 100 футов в длину и 5 футов в ширину. Все существа, попавшие в эту линию, должны совершить спасбросок Телосложения, получая 8к8 урона силовым полем при провале и половину этого урона при успехе. Все существа в пределах 10 футов от линии, не находящиеся в ней, должны преуспеть в спасброске Телосложения, иначе получит 8к8 урона силовым полем и притянется по прямой к линии, пока не окажется в её пространстве.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 7-го уровня или выше, урон увеличивается на 1к8 за каждый уровень выше шестого."
/spells/49-ice_storm/,Град [Ice storm],4 уровень,воплощение,1 действие,300 футов,"В, С, М  (щепотка пыли и несколько капель воды)",Мгновенная,"волшебник, друид, чародей","артиллерист (изобретатель), домен бури (жрец), клятва древних (паладин), круг земли (друид)",«Player's handbook»,"На землю в цилиндре с радиусом 20 футов и высотой 40 футов, с центром на точке в пределах дистанции, падают куски льда. Все существа в цилиндре должны совершить спасбросок Ловкости. Существо получает дробящий урон 2к8 и урон холодом 4к6 при провале, или половину этого урона при успехе.Град превращает область воздействия втруднопроходимую местностьдо конца вашего следующего хода.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 5-го уровня или выше, дробящий урон увеличивается на 1к8 за каждый уровень ячейки выше четвертого."
/spells/50-hail_of_thorns/,Град шипов [Hail of thorns],1 уровень,вызов,1 бонусное действие,На себя,В,"Концентрация, вплоть до 1 минуты",следопыт,,«Player's handbook»,"В следующий раз, когда вы попадёте по существу дальнобойной атакой оружием, пока активно это заклинание, из дальнобойного оружия или боеприпаса вылетит град шипов. В дополнение к обычному эффекту атаки, цель и все существа в пределах 5 футов от неё, должны совершить спасбросок Ловкости. При провале существо получает колющий урон 1к10, или половину этого урона при успехе.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 2-го уровня или выше, урон увеличивается на 1к10 за каждый уровень ячейки выше первого (до максимума 6к10)."
/spells/51-storm_of_vengeance/,Гроза гнева [Storm of vengeance],9 уровень,вызов,1 действие,В пределах видимости,"В, С","Концентрация, вплоть до 1 минуты",друид,,«Player's handbook»,"Появляются клубящиеся облака с центром на точке, видимой вами, распространяющиеся в радиусе 360 футов. В этой области бьют молнии, грохочет гром и дует сильный ветер. Все существа, находящиеся под облаками (на расстоянии не больше 5 000 футов под облаком), когда те появляются, должны совершить спасбросок Телосложения. При провале существо получает 2к6 урона звуком и становитсяоглохшимна 5 минут.Каждый раунд, в котором вы поддерживаете концентрацию на этом заклинании, гроза в ваш ход создаёт иной эффект:Раунд 2. Из облаков выпадает кислотный дождь. Все существа и предметы под облаками получают 1к6 урона кислотой.Раунд 3. Вы создаёте шесть разрядов молний из облаков, ударяющих в шесть существ или предметов на ваш выбор под облаками. Существа и предметы не могут стать целью более одной молнии. Ударенное существо должно совершить спасбросок Ловкости. Существо получает 10к6 урона электричеством при провале или половину этого урона при успехе.Раунд 4. Из облаков выпадает град. Все существа под облаками получают 2к6 дробящего урона.Раунд 5-10. Под облаками бушует сильный ветер и идёт мокрый снег. Местность становитсятруднопроходимойисильно заслонённой. Все находящиеся там существа получают 1к6 урона холодом. Дальнобойные атаки оружием в этой местности невозможны. Ветер и дождь считаются сильным отвлекающим фактором при концентрации на заклинаниях. И наконец, порывы сильного ветра (скорость от 20 до 50 миль в час) автоматически рассеивают туман, испарения и подобные явления, как естественной, так и магической природы."
/spells/52-thunderous_smite/,Громовая кара [Thunderous smite],1 уровень,воплощение,1 бонусное действие,На себя,В,"Концентрация, вплоть до 1 минуты",паладин,,«Player's handbook»,"В первый раз, когда вы попадаете рукопашной атакой оружием, пока заклинание активно, ваше оружие издаёт громовой рокот, слышимый с расстояния 300 футов, и атака причиняет цели дополнительный урон звуком 2к6. Кроме того, если цель — существо, она должна преуспеть в спасброске Силы, иначе она будет оттолкнута на 10 футов от вас исбита с ног."
/spells/458-booming_blade/,Громовой клинок [Booming blade],Заговор,воплощение,1 действие,На себя (5-футов радиус),"С, М  (оружие ближнего боя стоимостью не менее 1 см)",1 раунд,"волшебник, изобретатель, колдун, чародей",,,"Вы взмахиваете оружием, выбранным в качестве материального компонента, и совершаете рукопашную атаку оружием против одного существа в пределах 5 футов от вас. При попадании цель подвергается обычному эффекту от атаки этим оружием и покрывается бушующей энергией до начала вашего следующего хода. Если цель добровольно перемещается на 5 футов или более до окончания действия заклинания, она получает 1к8 урона звуком, и действие заклинания заканчивается.Урон этого заклинания увеличивается, когда вы достигаете определённых уровней. На 5-м уровне рукопашная атака наносит дополнительно 1к8 урона звуком при попадании, а урон, получаемый при перемещении, увеличивается до 2к8. Оба броска урона снова увеличиваются на 1к8 на 11-м уровне (2к8 и 3к8) и на 17-м уровне (3к8 и 4к8)."
/spells/471-thunder_step/,Громовой шаг [Thunder step],3 уровень,вызов,1 действие,90 футов,В,Мгновенная,"волшебник, колдун, чародей",,«Xanathar's Guide to Everything»,"Вы телепортируете себя в незанятое пространство, которое вы можете видеть в пределах дистанции. Сразу после того, как вы исчезли, раздается раскат грома, и каждое существо в радиусе 10 футов от покинутого пространства должно совершить спасбросок Телосложения, получив 3к10 урона звуком при провале или половину этого урона при успехе. Гром слышен на расстоянии до 300 футов.Вы можете взять с собой предметы, если их вес не превышает ваш максимальный переносимый вес. Вы также можете взять с собой одно согласное существо, с размером не больше вашего, которое тоже может нести дозволенный вес предметов. При накладывании заклинания существо должно находиться в пределах 5 футов от вас, также должно быть незанятое пространство в пределах 5 футов от вашей точки назначения, где существо должно появиться; в противном случае существо не телепортируется.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 4-го уровня или выше, урон увеличивается на 1к10 за каждый уровень ячейки выше 3-го."
/spells/484-far_step/,Далёкий шаг	 [Far step],5 уровень,вызов,1 бонусное действие,На себя,В,"Концентрация, вплоть до 1 минуты","волшебник, колдун, чародей",,«Xanathar's Guide to Everything»,"Вы телепортируетесь до 60 футов в свободное пространство, видимое вами. Вы можете каждый ваш ход до окончания действия заклинания бонусным действием телепортироваться таким образом снова. "
/spells/2442-gift_of_alacrity/,Дар готовности [Gift of alacrity],1 уровень,прорицание (дюнамантия: хронургия),1 минута,Касание,"В, С",8 часов,,"магия гравитургии (волшебник), магия хронургии (волшебник)",«Explorer's Guide to Wildemount»,Вы касаетесь согласного существа. На время действия заклинания цель может прибавлять 1к8 к своим броскам инициативы.
/spells/53-move_earth/,Движение почвы [Move earth],6 уровень,преобразование,1 действие,120 футов,"В, С, М  (железный клинок и небольшая сумка со смесью из глины, перегноя и песка)","Концентрация, вплоть до 2 часов","волшебник, друид, чародей",,«Player's handbook»,"Выберите в пределах дистанции область с длиной стороны не больше 40 футов. Пока заклинание активно, вы можете менять поверхность земли, песка или глины. Вы можете увеличить или уменьшить высоту, создать или засыпать ров, поднять или сравнять стены, и даже формировать колонны. Высота таких изменений не может превышать половины самой большой стороны области. Таким образом, если вы воздействуете на квадрат с длиной стороны 40 футов, вы можете создать колонну высотой до 20 футов, поднять или опустить землю на расстояние до 20 футов, выкопать траншею глубиной до 20 футов, и так далее. Изменения вступают в силу в течение 10 минут.В конце каждых 10 минут концентрации на этом заклинании вы можете выбрать новую область, чтобы подействовать на неё.Из-за того, что трансформация местности происходит медленно, обычно, существа не могут попасть в плен или получить урон из-за движений почвы.Это заклинание не может манипулировать естественным камнем и каменными строениями. Камни и строения сдвигаются, приспосабливаясь к новой местности. Если изменение местности сделает строение неустойчивым, оно может разрушиться.Это заклинание также не действует на растения. Перемещаемая почва уносит с собой и растения."
/spells/54-clone/,Двойник [Clone],8 уровень,некромантия,1 час,Касание,"В, С, М  (алмаз, стоящий как минимум 1 000 зм, и как минимум 1 кубический дюйм (16 кубических сантиметров) плоти существа, расходуемый заклинанием, а также сосуд, стоящий как минимум 2 000 зм с запираемой крышкой и достаточно большой, чтобы вместить клонируемое существо, например, огромная урна, гроб, яма в земле или кристаллический контейнер, заполненный солёной водой)",Мгновенная,волшебник,,«Player's handbook»,"Это заклинание выращивает инертную копию живого существа, которое станет гарантией бессмертия. Этот клон формируется в запечатанном сосуде и вырастает до полного размера за 120 дней; вы можете сделать так, что двойник будет более молодой версией этого существа. Он остаётся инертным и будет оставаться таким сколько угодно, пока сосуд остаётся целым.В любое время после того, как двойник будет готов, когда настоящее существо умирает, его душа переносится в двойника, при условии, что она свободна и хочет вернуться. Двойник физически идентичен оригиналу и обладает той же индивидуальностью, воспоминаниями и умениями, но у него нет снаряжения оригинала. Тело исходного существа, если оно ещё существует, остаётся инертным, и его впоследствии нельзя оживить, так как душа обитает в другом месте."
/spells/55-demiplane/,Демиплан [Demiplane],8 уровень,вызов,1 действие,60 футов,С,1 час,"волшебник, колдун, чародей (Tasha's Cauldron of Everything)",,«Player's handbook»,"Вы создаёте тёмную дверь на твёрдой плоской поверхности, которую вы видите в пределах дистанции. Дверь достаточно большая, чтобы существа Среднего размера могли свободно проходить через неё. Если дверь открыть, она будет вести в демиплан, который выглядит как пустая комната по 30 футов во всех измерениях, построенная из дерева или камня. Когда заклинание заканчивается, дверь исчезает, а существа и предметы, находящиеся в демиплане, остаются запертыми там, так как дверь исчезает и с другой стороны тоже.Каждый раз, когда вы накладываете это заклинание, вы либо создаёте новый демиплан, либо соединяете дверь с демипланом, созданным предыдущим накладыванием этого заклинания. Кроме того, если вы знаете природу и содержимое демиплана, который был создан этим заклинанием другим существом, вы можете соединить свою дверь с этим демипланом."
/spells/56-dissonant_whisper/,Диссонирующий шёпот [Dissonant whisper],1 уровень,очарование,1 действие,60 футов,В,Мгновенная,бард,"Великий Древний (колдун), аберрантный разум (чародей)",«Player's handbook»,"Вы шёпотом пропеваете нестройную мелодию, которую слышит только выбранное вами существо в пределах дистанции, и которая причиняет ему жуткую боль. Цель должна совершить спасбросок Мудрости. В случае провала она получает урон психической энергией 3к6 и должна немедленно реакцией переместиться прочь от вас на расстояние, равное своей скорости. Существо не будет входить в очевидно опасные места, такие как огонь или яма. В случае успеха цель получает половину урона и не должно отходить.Глухоесущество автоматически преуспевает в спасброске.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 2-го уровня или выше, урон увеличивается на 1к6 за каждый уровень ячейки выше первого."
/spells/57-bigby_s_hand/,Длань Бигби [Bigby's hand],5 уровень,воплощение,1 действие,120 футов,"В, С, М  (яичная скорлупа и перчатка из змеиной кожи)","Концентрация, вплоть до 1 минуты","волшебник, изобретатель, чародей (Tasha's Cauldron of Everything)",бездонный (колдун),«Player's handbook»,"Вы создаёте мерцающую руку Большого размера из полупрозрачного силового поля в свободном пространстве, которое видите в пределах дистанции. Рука существует, пока активно заклинание, и она перемещается по вашей команде, подражая движениям вашей собственной руки. Эта рука является предметом, у которого КД 20, а количество хитов равно максимуму ваших хитов. Когда хиты руки опускаются до 0, заклинание оканчивается. У руки Сила 26 (+8), а Ловкость 10 (+0). Рука не заполняет своё пространство.Когда вы накладываете это заклинание, а также в последующие ходы, но уже бонусным действием, вы можете перемещать руку на 60 футов и создавать ей один из следующих эффектов:Могучая длань. Рука пытается толкнуть существо, находящееся в пределах 5 футов от неё, в выбранном вами направлении. Совершите проверку Силы руки, противопоставленную проверке Силы (Атлетика) цели. Если цель Среднего размера или меньше, вы совершаете проверку с преимуществом. В случае успеха рука толкает цель на 5 футов плюс количество футов, равное модификатору базовой характеристики, умноженному на 5. Рука перемещается вместе с целью, оставаясь в пределах 5 футов от неё.Преграждающая длань. Рука встаёт между вами и выбранным вами существом, пока вы не отдадите руке другую команду. Рука перемещается так, что находится между вами и целью, предоставляя вам от целиукрытие на половину. Цель не может пройти сквозь пространство руки, если её значение Силы не больше значения Силы руки. Если значение Силы у цели больше, чем у руки, она может подойти к вам сквозь руку, но пространство руки для цели считаетсятруднопроходимой местностью.Сжатый кулак. Рука ударяет одно существо или предмет в пределах 5 футов от себя. Совершите рукопашную атаку заклинанием за руку, используя свои параметры. При попадании цель получает 4к8 урона силовым полем.Сжимающая длань. Рука пытаетсясхватитьсущество с размером Огромное или меньше, находящееся в пределах 5 футов от неё. При проверкезахватавы используете значение Силы руки. Если размер цели Средний или меньше, вы совершаете проверку с преимуществом. Пока рука держит цель взахвате, вы можете бонусным действием сдавливать её рукой. Цель при этом получает дробящий урон 2к6 + модификатор вашей базовой характеристики.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 6 уровня или выше, за каждый уровень ячейки выше пятого урон от сжатого кулака увеличивается на 2к8, а урон от сжимающей длани увеличивается на 2к6."
/spells/58-daylight/,Дневной свет [Daylight],3 уровень,воплощение,1 действие,60 футов,"В, С",1 час,"друид, жрец, паладин, следопыт, чародей","домен света (жрец), круг земли (друид), небожитель (колдун)",«Player's handbook»,"Из точки, выбранной вами в пределах дистанции, распространяется сфера света с радиусом 60 футов. Сфера излучаетяркий светитусклый светв пределах ещё 60 футов.Если выбранная вами точка находится на предмете, который вы держите, несёте или носите, свет исходит из предмета и перемещается вместе с ним. Если полностью накрыть источник света непрозрачным предметом, например, чашей или шлемом, свет будет заблокирован.Если часть зоны этого заклинания накрывает зонутьмы, созданной заклинанием с уровнем не выше 3-го, заклинание, создавшее тьму, рассеивается."
/spells/59-armor_of_agathys/,Доспех Агатиса [Armor of Agathys],1 уровень,ограждение,1 действие,На себя,"В, С, М  (чашка воды)",1 час,колдун,клятва покорения (паладин),«Player's handbook»,"Вас окружает защитное магическое поле, проявляющееся в виде призрачной изморози, покрывшей вас и ваше снаряжение. Вы получаете 5 временных хитов на период действия заклинания. Если существо попадает по вам рукопашной атакой, пока у вас есть эти хиты, оно получает 5 урона холодом.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 2-го уровня или выше, и временные хиты и урон холодом увеличиваются на 5 за каждый уровень ячейки выше первого."
/spells/60-mage_armor/,Доспехи мага [Mage armor],1 уровень,ограждение,1 действие,Касание,"В, С, М  (кусочек выделанной кожи)",8 часов,"волшебник, чародей",,«Player's handbook»,"Вы касаетесь согласного существа, не носящего доспех, и на время действия заклинания его окутывает защитное магическое поле. Базовый КД существа становится равен 13 + его модификатор Ловкости. Заклинание оканчивается, если цель надевает доспех или вы оканчиваете его действием."
/spells/3814-draconic_transformation/,Драконоподобное превращение [Draconic Transformation],7 уровень,преобразование,1 бонусное действие,На себя,"В, С, М  (статуэтка дракона, стоимостью не менее 500 зм)","Концентрация, вплоть до 1 минуты","волшебник, друид, чародей",,«Fizban's Treasury of Dragons»,"Издав громкий рык, вы прибегаете к магии драконов, чтобы преобразить себя, приобретая черты дракона. Пока заклинание активно, вы получаете следующие преимущества:Слепое зрение. Вы получаетеслепое зрениев пределах 30 футов. В пределах этой дистанции вы можете видеть всё, что не находится заполным укрытием, даже если выослепленыили находитесь втемноте. Более того, вы можете увидетьневидимоесущество в пределах этой дистанции, если только оно не преуспело в попытке спрятаться от вас.Оружие дыхания. Когда вы накладываете это заклинание, а также в последующие ходы, бонусным действием, вы можете выдыхать переливающуюся энергию 60-футовом конусом. Каждое существо в этой области должно совершить спасбросок Ловкости, получая 6к8 урона силовым полем в случае провала и половину этого урона в случае успеха.Крылья. Бесплотные крылья расправляются за вашей спиной, даруя вам скорость полёта 60 футов."
/spells/62-shatter/,Дребезги [Shatter],2 уровень,воплощение,1 действие,60 футов,"В, С, М  (кусочек слюды)",Мгновенная,"бард, волшебник, колдун, чародей","артиллерист (изобретатель), бронник (изобретатель), домен бури (жрец), путь четырёх стихий (монах)",«Player's handbook»,"Громкий звонкий звук исходит из выбранной вами точки в пределах дистанции. Все существа в сфере с радиусом 10 футов с центром на этой точке должны совершить спасбросок Телосложения. При провале существо получает урон звуком 3к8, или половину этого урона при успехе. Существа, изготовленные из неорганической материи, такой как камень, кристалл или металл, совершают этот спасбросок с помехой.Немагические предметы, которые не несут и не носят, тоже получают урон, если находятся в области заклинания.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 3-го уровня или выше, урон увеличивается на 1к8 за каждый уровень ячейки выше второго."
/spells/65-tree_stride/,Древесный путь [Tree stride],5 уровень,вызов,1 действие,На себя,"В, С","Концентрация, вплоть до 1 минуты","друид, следопыт","домен природы (жрец), клятва древних (паладин), круг земли (друид)",«Player's handbook»,"Вы получаете способность входить в дерево и перемещаться через него в другое дерево того же вида, находящееся в пределах 500 футов. Оба дерева должны быть живыми, и размер обоих должен быть не меньше вашего. Вы должны использовать 5 футов перемещения, чтобы войти в дерево. Вы мгновенно узнаёте местоположение всех других деревьев этого вида в пределах 500 футов, и частью этого же перемещения можете либо перейти в одно из этих деревьев, либо выйти из дерева, в котором вы находитесь. Вы появляетесь в пространстве на свой выбор в пределах 5 футов от текущего дерева, используя ещё 5 футов перемещения. Если у вас не осталось перемещения, вы появляетесь в пределах 5 футов от дерева, в которое входили.Вы можете использовать эту перемещающую способность один раз в раунд, пока активно заклинание. Каждый ход вы должны заканчивать вне дерева."
/spells/472-catnap/,Дрёма [Catnap],3 уровень,очарование,1 действие,30 футов,"С, М  (щепотка песка)",10 минут,"бард, волшебник, изобретатель, чародей",,«Xanathar's Guide to Everything»,"Вы делаете успокаивающий жест, и до трёх согласных существ по вашему выбору, которых вы можете видеть в пределах дистанции, падаютбез сознанияна время действия заклинания. Заклинание оканчивается на цели раньше, если она получает урон или если кто-то действием потрясёт её или даст пощёчину. Если цель остаетсябез сознанияв течение всего времени действия заклинания, она получает все преимущества короткого отдыха и не может быть подвержена этому заклинанию снова, пока не закончит продолжительный отдых.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 4-го уровня или выше, вы можете сделать целью дополнительно ещё одно существо за каждый уровень ячейки выше 3-го."
/spells/379-earth_tremor/,Дрожь земли [Earth tremor],1 уровень,воплощение,1 действие,10 футов,"В, С",Мгновенная,"бард, волшебник, друид, чародей",,,"Вы сотрясаете землю в пределах дистанции. Все существа, кроме вас, в этой области должны совершить спасбросок Ловкости. При провале существо получает 1к6 дробящего урона исбивается с ног. Если поверхность представляет собой рыхлую землю или камень, то область воздействия становитсятруднопроходимой местностьюдо тех пор, пока её не расчистят. Каждая область диаметром 5 футов требует как минимум 1 минуту на расчистку вручную.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 2-го уровня или выше, то урон увеличивается на 1к6 за каждый уровень ячейки выше 1-го."
